DATE,품목명,총반입량,전일,전년
2023-03-25,배추,176,356,276
2023-03-24,배추,357,324,292
2023-03-23,배추,325,276,385
2023-03-22,배추,276,252,280
2023-03-21,배추,252,370,285
2023-03-20,배추,370,0,0
2023-03-18,배추,151,268,335
2023-03-17,배추,267,325,271
2023-03-16,배추,324,307,290
2023-03-15,배추,307,345,322
2023-03-14,배추,345,303,318
2023-03-13,배추,303,0,0
2023-03-11,배추,108,303,243
2023-03-10,배추,303,432,200
2023-03-09,배추,432,337,361
2023-03-08,배추,337,220,324
2023-03-07,배추,220,346,404
2023-03-06,배추,346,0,0
2023-03-04,배추,236,341,318
2023-03-03,배추,341,208,422
2023-03-02,배추,208,280,184
2023-03-01,배추,280,310,232
2023-02-28,배추,309,308,389
2023-02-27,배추,307,0,0
2023-02-25,배추,172,279,233
2023-02-24,배추,279,255,272
2023-02-23,배추,254,234,374
2023-02-22,배추,234,357,194
2023-02-21,배추,358,303,464
2023-02-20,배추,303,0,0
2023-02-18,배추,188,309,241
2023-02-17,배추,309,372,270
2023-02-16,배추,373,188,267
2023-02-15,배추,188,176,299
2023-02-14,배추,175,417,316
2023-02-13,배추,417,0,0
2023-02-11,배추,135,246,298
2023-02-10,배추,246,293,362
2023-02-09,배추,293,290,206
2023-02-08,배추,290,206,214
2023-02-07,배추,206,268,367
2023-02-06,배추,268,0,0
2023-02-04,배추,256,341,393
2023-02-03,배추,342,330,0
2023-02-02,배추,330,338,0
2023-02-01,배추,338,250,0
2023-01-31,배추,250,212,0
2023-01-30,배추,212,0,33
2023-01-28,배추,172,189,346
2023-01-27,배추,190,43,346
2023-01-26,배추,43,137,515
2023-01-25,배추,137,0,394
2023-01-21,배추,22,198,248
2023-01-20,배추,198,309,324
2023-01-19,배추,309,281,305
2023-01-18,배추,281,389,298
2023-01-17,배추,390,382,580
2023-01-16,배추,382,0,0
2023-01-14,배추,122,354,290
2023-01-13,배추,354,294,250
2023-01-12,배추,294,242,221
2023-01-11,배추,242,195,243
2023-01-10,배추,196,427,332
2023-01-09,배추,427,0,0
2023-01-07,배추,202,304,247
2023-01-06,배추,304,282,372
2023-01-05,배추,281,272,412
2023-01-04,배추,272,342,282
2023-01-03,배추,342,0,176
2022-12-31,배추,161,403,257
2022-12-30,배추,402,361,323
2022-12-29,배추,361,298,273
2022-12-28,배추,298,333,325
2022-12-27,배추,333,189,66
2022-12-26,배추,189,0,0
2022-12-24,배추,82,198,212
2022-12-23,배추,198,313,245
2022-12-22,배추,314,281,363
2022-12-21,배추,281,318,362
2022-12-20,배추,318,135,324
2022-12-19,배추,135,0,0
2022-12-17,배추,153,170,257
2022-12-16,배추,170,191,329
2022-12-15,배추,191,395,338
2022-12-14,배추,395,378,338
2022-12-13,배추,377,433,262
2022-12-12,배추,433,0,0
2022-12-10,배추,386,403,513
2022-12-09,배추,402,365,509
2022-12-08,배추,364,343,353
2022-12-07,배추,344,434,422
2022-12-06,배추,433,729,564
2022-12-05,배추,729,0,0
2022-12-03,배추,522,349,683
2022-12-02,배추,349,406,394
2022-12-01,배추,407,457,538
2022-11-30,배추,458,637,775
2022-11-29,배추,637,1015,828
2022-11-28,배추,1015,0,0
2022-11-26,배추,1111,1010,1136
2022-11-25,배추,1011,713,1121
2022-11-24,배추,713,912,577
2022-11-23,배추,912,695,875
2022-11-22,배추,695,1057,1173
2022-11-21,배추,1057,0,0
2022-11-19,배추,1226,1075,1477
2022-11-18,배추,1075,1012,1163
2022-11-17,배추,1011,955,1270
2022-11-16,배추,954,879,1168
2022-11-15,배추,879,1064,1580
2022-11-14,배추,1064,0,0
2022-11-12,배추,1040,1052,1392
2022-11-11,배추,1052,854,926
2022-11-10,배추,854,822,858
2022-11-09,배추,821,945,823
2022-11-08,배추,945,857,1253
2022-11-07,배추,857,0,0
2022-11-05,배추,534,664,678
2022-11-04,배추,664,545,789
2022-11-03,배추,545,699,583
2022-11-02,배추,699,757,723
2022-11-01,배추,758,644,696
2022-10-31,배추,645,0,0
2022-10-29,배추,538,474,660
2022-10-28,배추,473,502,682
2022-10-27,배추,501,545,603
2022-10-26,배추,546,546,750
2022-10-25,배추,546,797,708
2022-10-24,배추,798,0,0
2022-10-22,배추,559,617,525
2022-10-21,배추,617,578,661
2022-10-20,배추,578,550,664
2022-10-19,배추,550,608,571
2022-10-18,배추,607,769,456
