날짜,품목,품종,등급,거래단위,최저가,최고가,평균가,전일대비 등락,전일 평균대비,전7일 평균대비,전년 동월동일 평균대비
2025.05.12,오이,백다다기오이,보통,50개,13000,14500,13571,"1,099","12,472(108.8%)","13,729(98.8%)","15,882(85.4%)"
2025.05.12,오이,백다다기오이,하,50개,2500,13000,12282,"1,235","11,047(111.2%)","11,928(103%)","12,541(97.9%)"
2025.05.12,오이,노각오이,특,15kg상자,26500,26500,26500,"1,100","25,400(104.3%)","27,567(96.1%)","30,000(88.3%)"
2025.05.12,오이,노각오이,상,15kg상자,25000,26500,26340,"2,953","23,387(112.6%)","26,666(98.8%)","28,383(92.8%)"
2025.05.12,오이,노각오이,보통,15kg상자,18500,25000,22954,"2,930","20,024(114.6%)","24,825(92.5%)","22,288(103%)"
2025.05.12,오이,노각오이,하,15kg상자,10000,18500,17727,"3,993","13,734(129.1%)","17,843(99.3%)","18,160(97.6%)"
2025.05.12,오이,취청오이,특,50개,37000,42000,39122,"1,266","37,856(103.3%)","40,213(97.3%)","26,619(147%)"
2025.05.12,오이,취청오이,상,50개,31000,37000,33598,161,"33,437(100.5%)","35,225(95.4%)","21,168(158.7%)"
2025.05.12,오이,취청오이,보통,50개,25000,31000,28045,58,"27,987(100.2%)","29,847(94%)","16,384(171.2%)"
2025.05.12,오이,취청오이,하,50개,4500,25000,20695,-345,"21,040(98.4%)","22,998(90%)","9,787(211.5%)"
2025.05.12,호박,쥬키니호박,특,10kg상자,15500,17000,16091,464,"15,627(103%)","14,699(109.5%)","13,613(118.2%)"
2025.05.12,호박,쥬키니호박,상,10kg상자,14500,15500,14888,768,"14,120(105.4%)","13,258(112.3%)","10,314(144.3%)"
2025.05.12,호박,쥬키니호박,보통,10kg상자,13000,14500,13741,677,"13,064(105.2%)","11,883(115.6%)","8,520(161.3%)"
2025.05.12,호박,쥬키니호박,하,10kg상자,3500,13000,11644,693,"10,951(106.3%)","9,767(119.2%)","5,936(196.2%)"
2025.05.12,호박,애호박,특,20개,15500,24000,16560,797,"15,763(105.1%)","16,783(98.7%)","18,864(87.8%)"
2025.05.12,호박,애호박,상,20개,14500,15500,14883,567,"14,316(104%)","14,559(102.2%)","14,961(99.5%)"
2025.05.12,호박,애호박,보통,20개,13000,14500,13692,452,"13,240(103.4%)","13,328(102.7%)","13,734(99.7%)"
2025.05.12,호박,애호박,하,20개,2000,13000,11147,247,"10,900(102.3%)","10,644(104.7%)","11,110(100.3%)"
2025.05.12,호박,늙은호박,상,10kg,22800,22800,22800,"""""","22,800(100%)","23,133(98.6%)",0
2025.05.12,호박,늙은호박,보통,10kg,17500,22800,19942,"""""","19,942(100%)","19,154(104.1%)",0
2025.05.12,호박,늙은호박,하,10kg,8000,17500,13459,"""""","13,459(100%)","12,608(106.7%)",0
2025.05.12,호박,늙은호박,상,1kg,2280,2280,2280,"""""","2,280(100%)","2,310(98.7%)",0
2025.05.12,호박,늙은호박,보통,1kg,1000,2280,1627,"""""","1,627(100%)","1,632(99.7%)",0
2025.05.12,호박,늙은호박,하,1kg,500,1000,833,"""""",833(100%),863(96.5%),0
2025.05.12,호박,단호박 수입,상,10Kg그물망,17500,22000,19076,-490,"19,566(97.5%)","20,733(92%)","13,095(145.7%)"
2025.05.12,호박,단호박 수입,보통,10Kg그물망,16000,17500,16714,-440,"17,154(97.4%)","18,730(89.2%)","11,651(143.5%)"
2025.05.12,호박,단호박 수입,하,10Kg그물망,10000,16000,14203,16,"14,187(100.1%)","16,356(86.8%)","10,060(141.2%)"
2025.05.12,토마토,토마토,특,10kg상자,25000,27000,25900,"2,150","23,750(109.1%)","25,919(99.9%)","35,178(73.6%)"
2025.05.12,토마토,토마토,상,10kg상자,21000,25000,22497,562,"21,935(102.6%)","22,343(100.7%)","33,804(66.6%)"
2025.05.12,토마토,토마토,보통,10kg상자,16000,21000,18187,876,"17,311(105.1%)","18,588(97.8%)","30,530(59.6%)"
2025.05.12,토마토,토마토,하,10kg상자,7000,16000,13671,"1,227","12,444(109.9%)","13,775(99.2%)","18,809(72.7%)"
2025.05.12,토마토,토마토,특,5kg상자,10000,11000,10223,-136,"10,359(98.7%)","10,502(97.3%)","16,638(61.4%)"
2025.05.12,토마토,토마토,상,5kg상자,9500,10000,9832,241,"9,591(102.5%)","9,730(101%)","14,692(66.9%)"
2025.05.12,토마토,토마토,보통,5kg상자,8000,9500,8914,335,"8,579(103.9%)","8,746(101.9%)","12,621(70.6%)"
2025.05.12,토마토,토마토,하,5kg상자,4000,8000,7631,654,"6,977(109.4%)","7,390(103.3%)","10,261(74.4%)"
2025.05.12,토마토,토마토 완숙,특,5kg상자,10000,13000,10490,490,"10,000(104.9%)","10,449(100.4%)","17,000(61.7%)"
2025.05.12,토마토,토마토 완숙,상,5kg상자,9000,10000,9792,227,"9,565(102.4%)","9,793(100%)","15,393(63.6%)"
2025.05.12,토마토,토마토 완숙,보통,5kg상자,8000,9000,8778,211,"8,567(102.5%)","8,743(100.4%)","12,896(68.1%)"
2025.05.12,토마토,토마토 완숙,하,5kg상자,4000,8000,7610,955,"6,655(114.4%)","7,098(107.2%)","10,458(72.8%)"
