DATE,unit,rate,avg_price
2024-11-23,10,하,4203 
2024-11-22,10,특,10751 
2024-11-22,10,상,9430 
2024-11-22,10,중,8321 
2024-11-22,10,하,5971 
2024-11-21,10,특,9443 
2024-11-21,10,상,8656 
2024-11-21,10,중,7647 
2024-11-21,10,하,5861 
2024-11-20,10,특,8749 
2024-11-20,10,상,7489 
2024-11-20,10,중,6660 
2024-11-20,10,하,5028 
2024-11-19,10,특,8725 
2024-11-19,10,상,7130 
2024-11-19,10,중,5911 
2024-11-19,10,하,3648 
2024-11-18,10,특,8837 
2024-11-18,10,상,6806 
2024-11-18,10,중,5746 
2024-11-18,10,하,3406 
2024-11-17,10,특,0 
2024-11-17,10,상,0 
2024-11-17,10,중,0 
2024-11-17,10,하,0 
2024-11-16,10,특,9432 
2024-11-16,10,상,8143 
2024-11-16,10,중,7112 
2024-11-16,10,하,4003 
2024-11-15,10,특,10234 
2024-11-15,10,상,8842 
2024-11-15,10,중,7568 
2024-11-15,10,하,4746 
2024-11-14,10,특,9974 
2024-11-14,10,상,8426 
2024-11-14,10,중,7376 
2024-11-14,10,하,4615 
2024-11-13,10,특,8702 
2024-11-13,10,상,7597 
2024-11-13,10,중,6562 
2024-11-13,10,하,4559 
2024-11-12,10,특,8357 
2024-11-12,10,상,6972 
2024-11-12,10,중,5789 
2024-11-12,10,하,3872 
2024-11-11,10,특,9457 
2024-11-11,10,상,8270 
2024-11-11,10,중,6887 
2024-11-11,10,하,4387 
2024-11-09,10,특,8693 
2024-11-09,10,상,7627 
2024-11-09,10,중,6410 
2024-11-09,10,하,3942 
2024-11-08,10,특,10034 
2024-11-08,10,상,8562 
2024-11-08,10,중,7383 
2024-11-08,10,하,5581 
2024-11-07,10,특,9835 
2024-11-07,10,상,8515 
2024-11-07,10,중,7412 
2024-11-07,10,하,5546 
2024-11-06,10,특,10232 
2024-11-06,10,상,8533 
2024-11-06,10,중,7311 
2024-11-06,10,하,5439 
2024-11-05,10,특,9762 
2024-11-05,10,상,8499 
2024-11-05,10,중,7230 
2024-11-05,10,하,4783 
2024-11-04,10,특,10325 
2024-11-04,10,상,8709 
2024-11-04,10,중,7483 
2024-11-04,10,하,5040 
2024-11-02,10,특,10984 
2024-11-02,10,상,9241 
2024-11-02,10,중,7430 
2024-11-02,10,하,4526 
2024-11-01,10,특,11260 
2024-11-01,10,상,9045 
2024-11-01,10,중,7171 
2024-11-01,10,하,4955 
2024-10-31,10,특,11073 
2024-10-31,10,상,8692 
2024-10-31,10,중,6880 
2024-10-31,10,하,3650 
2024-10-30,10,특,12279 
2024-10-30,10,상,8753 
2024-10-30,10,중,6537 
2024-10-30,10,하,4204 
2024-10-29,10,특,13327 
2024-10-29,10,상,11021 
2024-10-29,10,중,7905 
2024-10-29,10,하,5325 
2024-10-28,10,특,12376 
2024-10-28,10,상,9706 
2024-10-28,10,중,7388 
2024-10-28,10,하,4712 
2024-10-27,10,특,0 
2024-10-27,10,상,0 
2024-10-27,10,중,0 
2024-10-27,10,하,0 
2024-10-26,10,특,13181 
2024-10-26,10,상,10784 
2024-10-26,10,중,7408 
2024-10-26,10,하,3531 
2024-10-25,10,특,13721 
2024-10-25,10,상,10665 
2024-10-25,10,중,8242 
2024-10-25,10,하,4395 
2024-10-24,10,특,16272 
2024-10-24,10,상,12599 
2024-10-24,10,중,9729 
2024-10-24,10,하,6701 
2024-10-23,10,특,20718 
2024-10-23,10,상,15589 
2024-10-23,10,중,10339 
2024-10-23,10,하,7114 
2024-10-22,10,특,19989 
2024-10-22,10,상,15928 
2024-10-22,10,중,10420 
2024-10-22,10,하,5554 
2024-10-21,10,특,22832 
2024-10-21,10,상,16681 
2024-10-21,10,중,10283 
2024-10-21,10,하,5571 
2024-10-20,10,특,0 
2024-10-20,10,상,0 
2024-10-20,10,중,0 
2024-10-20,10,하,0 
2024-10-19,10,특,21177 
2024-10-19,10,상,12803 
2024-10-19,10,중,7833 
2024-10-19,10,하,4474 
2024-10-18,10,특,26649 
2024-10-18,10,상,18809 
2024-10-18,10,중,12393 
2024-10-18,10,하,7843 
2024-10-17,10,특,27831 
2024-10-17,10,상,20866 
2024-10-17,10,중,15297 
2024-10-17,10,하,9976 
2024-10-16,10,특,29288 
2024-10-16,10,상,24031 
2024-10-16,10,중,18091 
2024-10-16,10,하,14017 
2024-10-15,10,특,29061 
2024-10-15,10,상,23515 
2024-10-15,10,중,17502 
2024-10-15,10,하,11138 
2024-10-14,10,특,32493 
2024-10-14,10,상,26759 
2024-10-14,10,중,19801 
2024-10-14,10,하,13874 
2024-10-13,10,특,0 
2024-10-13,10,상,0 
2024-10-13,10,중,0 
2024-10-13,10,하,0 
2024-10-12,10,특,30219 
2024-10-12,10,상,23196 
2024-10-12,10,중,13636 
2024-10-12,10,하,7927 
2024-10-11,10,특,28852 
2024-10-11,10,상,21761 
2024-10-11,10,중,11727 
2024-10-11,10,하,5821 
2024-10-10,10,특,29153 
2024-10-10,10,상,20129 
2024-10-10,10,중,11362 
2024-10-10,10,하,6249 
2024-10-09,10,특,28906 
2024-10-09,10,상,23251 
2024-10-09,10,중,15440 
2024-10-09,10,하,11507 
2024-10-08,10,특,30663 
2024-10-08,10,상,23978 
2024-10-08,10,중,16611 
2024-10-08,10,하,10789 
2024-10-07,10,특,30326 
2024-10-07,10,상,23270 
2024-10-07,10,중,17046 
2024-10-07,10,하,11785 
