DATE,품목명,단위(키로),등급명,평균가격,전일,전년,반입량
2022-05-07,배추,10,1,12915,0,0,14
2022-05-09,배추,10,0,9183,0,0,143
2022-05-09,배추,10,1,12208,0,0,20
2022-05-10,배추,10,1,12323,0,0,22
2022-05-10,배추,10,0,9374,0,0,154
2022-05-11,배추,10,1,11644,12323,9497,19
2022-05-11,배추,10,0,8921,9374,6057,135
2022-05-12,배추,10,0,8647,8921,5138,112
2022-05-12,배추,10,1,12321,11644,9113,16
2022-05-13,배추,10,0,8991,8647,4308,113
2022-05-13,배추,10,1,12019,12321,6570,16
2022-05-14,배추,10,0,9581,8991,3409,79
2022-05-14,배추,10,1,12600,12019,5040,11
2022-05-16,배추,10,0,8539,0,4976,191
2022-05-16,배추,10,1,12132,0,5665,27
2022-05-17,배추,10,1,11223,12132,0,22
2022-05-17,배추,10,0,8330,8539,0,157
2022-05-18,배추,10,0,9016,8330,5819,126
2022-05-18,배추,10,1,12499,11223,6253,18
2022-05-19,배추,10,0,8634,9016,4109,137
2022-05-19,배추,10,1,9424,12499,5073,19
2022-05-20,배추,10,0,8255,8634,4606,156
2022-05-20,배추,10,1,9585,9424,5000,22
2022-05-21,배추,10,0,6973,8255,5497,130
2022-05-21,배추,10,1,8936,9585,5958,18
2022-05-23,배추,10,0,7183,0,5079,187
2022-05-23,배추,10,1,9361,0,6300,26
2022-05-24,배추,10,0,7840,7183,0,138
2022-05-24,배추,10,1,8980,9361,0,19
2022-05-25,배추,10,1,8636,8980,6071,17
2022-05-25,배추,10,0,7525,7840,5420,118
2022-05-26,배추,10,0,7278,7525,5121,132
2022-05-26,배추,10,1,8587,8636,6174,18
2022-05-27,배추,10,0,7640,7278,4564,110
2022-05-27,배추,10,1,9151,8587,5835,15
2022-05-28,배추,10,0,7533,7640,5786,96
2022-05-28,배추,10,1,9000,9151,6359,13
2022-05-30,배추,10,0,7879,0,5079,149
2022-05-30,배추,10,1,9012,0,5753,21
2022-05-31,배추,10,1,11255,9012,0,15
2022-05-31,배추,10,0,9392,7879,0,108
2022-06-01,배추,10,0,8665,9392,6887,145
2022-06-01,배추,10,1,10658,11255,7789,20
2022-06-02,배추,10,0,8889,0,0,112
2022-06-02,배추,10,1,11157,0,0,16
